sample_id,question_id,method_name,hallucinated_or_not,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
751,751,base,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.95703125,1.03125,1.0,0.83203125,0.98046875,0.9453125,1.140625,1.015625,0.765625,1.140625,0.9453125,0.74609375,0.6328125,0.4296875,0.28515625,0.28515625,0.31640625
2251,2251,base,1,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.0234375,1.09375,0.9921875,0.7421875,0.98828125,0.99609375,1.2109375,1.0078125,0.734375,1.109375,0.9140625,0.671875,0.5234375,0.38671875,0.25,0.2578125,0.328125
752,752,base,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.95703125,1.03125,1.0,0.83203125,0.98046875,0.9453125,1.140625,1.015625,0.765625,1.140625,0.9453125,0.74609375,0.6328125,0.4296875,0.28515625,0.28515625,0.31640625
2252,2252,base,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.0234375,1.09375,0.9921875,0.7421875,0.98828125,0.99609375,1.2109375,1.0078125,0.734375,1.109375,0.9140625,0.671875,0.5234375,0.38671875,0.25,0.2578125,0.328125
753,753,base,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.95703125,1.03125,1.0,0.83203125,0.98046875,0.9453125,1.140625,1.015625,0.765625,1.140625,0.9453125,0.74609375,0.6328125,0.4296875,0.28515625,0.28515625,0.31640625
1501,1501,base,1,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.015625,0.9921875,1.0,0.80078125,0.9296875,0.8671875,1.1328125,0.99609375,0.79296875,1.1640625,0.9375,0.74609375,0.5703125,0.40625,0.28125,0.29296875,0.3125
2253,2253,base,1,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.0234375,1.09375,0.9921875,0.7421875,0.98828125,0.99609375,1.2109375,1.0078125,0.734375,1.109375,0.9140625,0.671875,0.5234375,0.38671875,0.25,0.2578125,0.328125
1,1,base,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,1.0625,0.9609375,0.94921875,0.8828125,1.0859375,1.046875,1.2421875,1.015625,0.6796875,0.9296875,0.78125,0.57421875,0.625,0.49609375,0.3125,0.3515625,0.328125
754,754,base,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.95703125,1.03125,1.0,0.83203125,0.98046875,0.9453125,1.140625,1.015625,0.765625,1.140625,0.9453125,0.74609375,0.6328125,0.4296875,0.28515625,0.28515625,0.31640625
1502,1502,base,0,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.015625,0.9921875,1.0,0.80078125,0.9296875,0.8671875,1.1328125,0.99609375,0.79296875,1.1640625,0.9375,0.74609375,0.5703125,0.40625,0.28125,0.29296875,0.3125
2254,2254,base,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.0234375,1.09375,0.9921875,0.7421875,0.98828125,0.99609375,1.2109375,1.0078125,0.734375,1.109375,0.9140625,0.671875,0.5234375,0.38671875,0.25,0.2578125,0.328125
2,2,base,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,1.0625,0.9609375,0.94921875,0.8828125,1.0859375,1.046875,1.2421875,1.015625,0.6796875,0.9296875,0.78125,0.57421875,0.625,0.49609375,0.3125,0.3515625,0.328125
755,755,base,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.95703125,1.03125,1.0,0.83203125,0.98046875,0.9453125,1.140625,1.015625,0.765625,1.140625,0.9453125,0.74609375,0.6328125,0.4296875,0.28515625,0.28515625,0.31640625
1503,1503,base,0,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.015625,0.9921875,1.0,0.80078125,0.9296875,0.8671875,1.1328125,0.99609375,0.79296875,1.1640625,0.9375,0.74609375,0.5703125,0.40625,0.28125,0.29296875,0.3125
2255,2255,base,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.0234375,1.09375,0.9921875,0.7421875,0.98828125,0.99609375,1.2109375,1.0078125,0.734375,1.109375,0.9140625,0.671875,0.5234375,0.38671875,0.25,0.2578125,0.328125
3,3,base,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,1.0625,0.9609375,0.94921875,0.8828125,1.0859375,1.046875,1.2421875,1.015625,0.6796875,0.9296875,0.78125,0.57421875,0.625,0.49609375,0.3125,0.3515625,0.328125
756,756,base,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.95703125,1.03125,1.0,0.83203125,0.98046875,0.9453125,1.140625,1.015625,0.765625,1.140625,0.9453125,0.74609375,0.6328125,0.4296875,0.28515625,0.28515625,0.31640625
1504,1504,base,0,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.015625,0.9921875,1.0,0.80078125,0.9296875,0.8671875,1.1328125,0.99609375,0.79296875,1.1640625,0.9375,0.74609375,0.5703125,0.40625,0.28125,0.29296875,0.3125
2256,2256,base,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.0234375,1.09375,0.9921875,0.7421875,0.98828125,0.99609375,1.2109375,1.0078125,0.734375,1.109375,0.9140625,0.671875,0.5234375,0.38671875,0.25,0.2578125,0.328125
4,4,base,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,1.0625,0.9609375,0.94921875,0.8828125,1.0859375,1.046875,1.2421875,1.015625,0.6796875,0.9296875,0.78125,0.57421875,0.625,0.49609375,0.3125,0.3515625,0.328125
