sample_id,question_id,method_name,hallucinated_or_not,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28
2251,2251,evo,1,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.046875,1.3359375,1.0703125,0.7421875,0.9765625,0.982421875,1.2109375,1.015625,0.736328125,1.0859375,0.8984375,0.6796875,0.546875,0.390625,0.2578125,0.27734375,0.3359375
2252,2252,evo,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.046875,1.3359375,1.0703125,0.7421875,0.97265625,0.9765625,1.2109375,1.015625,0.734375,1.0859375,0.8984375,0.6796875,0.546875,0.390625,0.2578125,0.27734375,0.3359375
1,1,evo,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,0.95703125,1.09375,0.9921875,0.8984375,1.046875,0.98828125,1.234375,1.0390625,0.640625,0.875,0.7421875,0.59375,0.6171875,0.5,0.3359375,0.3671875,0.33203125
1501,1501,evo,1,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.0078125,1.2421875,1.0859375,0.8203125,0.8984375,0.828125,1.125,1.0,0.7890625,1.15625,0.9296875,0.76171875,0.578125,0.41015625,0.296875,0.30859375,0.31640625
2253,2253,evo,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.046875,1.3359375,1.0703125,0.7421875,0.98046875,0.98828125,1.2109375,1.015625,0.73828125,1.0859375,0.8984375,0.6796875,0.546875,0.390625,0.2578125,0.27734375,0.3359375
2,2,evo,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,0.95703125,1.09375,0.9921875,0.8984375,1.046875,0.98828125,1.234375,1.0390625,0.640625,0.875,0.7421875,0.59375,0.6171875,0.5,0.3359375,0.3671875,0.33203125
1502,1502,evo,0,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.0078125,1.2421875,1.08203125,0.8203125,0.8984375,0.828125,1.125,1.00390625,0.787109375,1.15234375,0.92578125,0.763671875,0.578125,0.41015625,0.296875,0.30859375,0.314453125
2254,2254,evo,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.046875,1.3359375,1.078125,0.7421875,0.97265625,0.9765625,1.2109375,1.015625,0.734375,1.0859375,0.8984375,0.6796875,0.546875,0.390625,0.2578125,0.27734375,0.3359375
751,751,evo,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.9609375,1.25,1.0546875,0.83984375,0.9609375,0.921875,1.1484375,1.03125,0.765625,1.1171875,0.93359375,0.7578125,0.65234375,0.4453125,0.3046875,0.3046875,0.32421875
3,3,evo,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,0.95703125,1.09375,0.9921875,0.8984375,1.046875,0.98828125,1.234375,1.0390625,0.640625,0.875,0.7421875,0.59375,0.6171875,0.5,0.3359375,0.3671875,0.33203125
1503,1503,evo,0,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.0078125,1.2421875,1.078125,0.8203125,0.8984375,0.828125,1.125,1.0078125,0.78515625,1.1484375,0.921875,0.765625,0.578125,0.41015625,0.296875,0.30859375,0.3125
2255,2255,evo,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.046875,1.3359375,1.0703125,0.7421875,0.98046875,0.98828125,1.2109375,1.015625,0.73828125,1.0859375,0.8984375,0.6796875,0.546875,0.390625,0.2578125,0.27734375,0.3359375
752,752,evo,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.9609375,1.25,1.0546875,0.83984375,0.9609375,0.921875,1.1484375,1.03125,0.765625,1.1171875,0.93359375,0.7578125,0.65234375,0.4453125,0.3046875,0.3046875,0.32421875
4,4,evo,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,0.955078125,1.08984375,0.98828125,0.900390625,1.046875,0.98828125,1.25,1.0390625,0.6484375,0.87890625,0.744140625,0.59375,0.6171875,0.5,0.3359375,0.3671875,0.33203125
2256,2256,evo,0,nan,nan,0.296875,0.45703125,0.5,0.31640625,0.2109375,0.3046875,0.75,0.703125,1.078125,1.046875,1.3359375,1.0703125,0.7421875,0.9765625,0.982421875,1.2109375,1.015625,0.736328125,1.0859375,0.8984375,0.6796875,0.546875,0.390625,0.2578125,0.27734375,0.3359375
1504,1504,evo,0,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.0078125,1.2421875,1.0859375,0.8203125,0.8984375,0.828125,1.125,1.0,0.7890625,1.15625,0.9296875,0.76171875,0.578125,0.41015625,0.296875,0.30859375,0.31640625
753,753,evo,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.9609375,1.25,1.05078125,0.83984375,0.9609375,0.921875,1.140625,1.0234375,0.767578125,1.12109375,0.93359375,0.7578125,0.646484375,0.4453125,0.3046875,0.3046875,0.32421875
5,5,evo,1,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,0.95703125,1.09375,0.9921875,0.8984375,1.046875,0.98828125,1.2578125,1.046875,0.640625,0.87890625,0.74609375,0.59375,0.6171875,0.5,0.3359375,0.3671875,0.33203125
2257,2257,evo,1,nan,nan,0.28125,0.4453125,0.4921875,0.2890625,0.20703125,0.34765625,0.76171875,0.75,1.1015625,0.97265625,1.28125,1.015625,0.84375,0.89453125,0.8359375,1.265625,1.109375,0.703125,1.1484375,0.94140625,0.71484375,0.5703125,0.43359375,0.30859375,0.296875,0.30078125
1505,1505,evo,1,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.0078125,1.2421875,1.078125,0.8203125,0.8984375,0.828125,1.140625,1.015625,0.78125,1.1640625,0.92578125,0.76171875,0.578125,0.41015625,0.296875,0.30859375,0.3125
754,754,evo,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.9609375,1.25,1.05078125,0.83984375,0.9609375,0.921875,1.140625,1.0234375,0.767578125,1.12109375,0.93359375,0.7578125,0.646484375,0.4453125,0.3046875,0.3046875,0.32421875
6,6,evo,0,nan,nan,0.30859375,0.53125,0.640625,0.4140625,0.27734375,0.4609375,0.76171875,0.80859375,1.109375,0.95703125,1.09375,0.9921875,0.8984375,1.046875,0.98828125,1.2578125,1.046875,0.640625,0.87890625,0.74609375,0.59375,0.6171875,0.5,0.3359375,0.3671875,0.33203125
2258,2258,evo,0,nan,nan,0.28125,0.4453125,0.4921875,0.2890625,0.20703125,0.34765625,0.76171875,0.75,1.1015625,0.97265625,1.28125,1.015625,0.84375,0.89453125,0.8359375,1.265625,1.109375,0.703125,1.1484375,0.94140625,0.71484375,0.5703125,0.43359375,0.30859375,0.296875,0.30078125
755,755,evo,0,nan,nan,0.3203125,0.484375,0.50390625,0.30859375,0.2265625,0.31640625,0.80078125,0.73046875,1.1484375,0.9609375,1.25,1.0546875,0.83984375,0.9609375,0.921875,1.1484375,1.03125,0.765625,1.1171875,0.93359375,0.7578125,0.65234375,0.4453125,0.3046875,0.3046875,0.32421875
1506,1506,evo,0,nan,nan,0.30078125,0.4296875,0.48046875,0.30078125,0.21484375,0.3203125,0.7421875,0.7578125,1.0625,1.0078125,1.2421875,1.08203125,0.8203125,0.8984375,0.828125,1.125,1.00390625,0.787109375,1.15234375,0.92578125,0.763671875,0.578125,0.41015625,0.296875,0.30859375,0.314453125
7,7,evo,0,nan,nan,0.30078125,0.46484375,0.46875,0.2734375,0.2109375,0.3515625,0.7578125,0.71875,1.1171875,1.0234375,1.28125,1.109375,0.76171875,0.9765625,0.9296875,1.1796875,0.98046875,0.67578125,0.984375,0.8125,0.640625,0.546875,0.39453125,0.2890625,0.296875,0.3046875
