sample_id,question_id,dataset_name,split_name,correct_or_not,hallucinated_or_not,generated_answer,ground_truth_answer,max_r,mean_r,max_entropy,mean_entropy,trigger_layer,trigger_step,pt_path
2251,2251,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.71875,0.7379918981481481,11.9375,5.118985317998962,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/2251.pt
2252,2252,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7375578703703703,11.9375,5.108059000690353,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/2252.pt
1,1,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.6875,0.7501446759259259,11.9375,4.675223362963285,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/1.pt
1501,1501,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.734375,0.7369791666666666,11.9375,5.307883355569959,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/1501.pt
2253,2253,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.71875,0.7384259259259259,11.9375,4.758943145216556,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/2253.pt
2,2,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.6875,0.7501446759259259,11.9375,5.148661695439498,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/2.pt
1502,1502,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7366174768518519,11.9375,5.367087835070661,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/1502.pt
2254,2254,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7378472222222222,11.9375,5.2054117890747245,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/2254.pt
751,751,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7536168981481481,11.9375,4.670702478449232,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/751.pt
3,3,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.6875,0.7501446759259259,11.9375,4.749767051800252,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/evo/analysis/coco_POPE_random/3.pt
