sample_id,question_id,dataset_name,split_name,correct_or_not,hallucinated_or_not,generated_answer,ground_truth_answer,max_r,mean_r,max_entropy,mean_entropy,trigger_layer,trigger_step,pt_path
751,751,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7474681712962963,11.9375,4.712181329079119,28,2,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/751.pt
1501,1501,coco_POPE_random,coco_POPE_random,0,0,No!,yes,1.734375,0.7372685185185185,11.9375,5.640071368469793,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1501.pt
1,1,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.6953125,0.7515914351851852,11.9375,4.72838836758306,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1.pt
752,752,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.734375,0.7536168981481481,11.9375,5.529608480721247,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/752.pt
2251,2251,coco_POPE_random,coco_POPE_random,0,0,No!,yes,1.71875,0.7379918981481481,11.9375,5.441486865246746,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2251.pt
1502,1502,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.734375,0.7366174768518519,11.9375,5.617047912150179,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1502.pt
2,2,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.6875,0.7501446759259259,11.9375,5.48044526135284,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2.pt
753,753,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7474681712962963,11.9375,4.871112807418011,28,2,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/753.pt
2252,2252,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.71875,0.7375578703703703,11.9375,5.419523835294685,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2252.pt
3,3,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.6953125,0.7515914351851852,11.9375,4.798533145377736,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/3.pt
1503,1503,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7307581018518519,11.9375,4.919649142122646,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1503.pt
754,754,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.734375,0.7526041666666666,11.9375,5.720242059552502,28,2,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/754.pt
2253,2253,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.71875,0.7315538194444444,11.9375,4.826335286742671,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2253.pt
4,4,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.6875,0.7509403935185185,11.9375,5.398274103705807,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/4.pt
1504,1504,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.734375,0.7369791666666666,11.9375,5.625640080731563,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1504.pt
755,755,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7474681712962963,11.9375,4.902485028211921,28,2,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/755.pt
2254,2254,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.71875,0.7378472222222222,11.9375,5.527549604749675,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2254.pt
5,5,coco_POPE_random,coco_POPE_random,0,0,No!,yes,1.6875,0.7508680555555556,11.9375,5.493653230391609,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/5.pt
756,756,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.734375,0.7536168981481481,11.9375,5.530960944307022,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/756.pt
1505,1505,coco_POPE_random,coco_POPE_random,0,0,No!,yes,1.734375,0.7375578703703703,11.9375,5.615737273597665,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1505.pt
2255,2255,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.71875,0.7315538194444444,11.9375,4.8134418123760545,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2255.pt
6,6,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.6875,0.7515914351851852,11.9375,5.490453186513538,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/6.pt
757,757,coco_POPE_random,coco_POPE_random,0,0,No!,yes,1.671875,0.7537615740740741,11.9375,5.400821458953879,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/757.pt
1506,1506,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.734375,0.7366174768518519,11.9375,5.643842296179518,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1506.pt
2256,2256,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.71875,0.7379918981481481,11.9375,5.450091687739723,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2256.pt
7,7,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7205584490740741,11.9375,4.8009827609097835,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/7.pt
758,758,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.671875,0.7544849537037037,11.9375,5.463574390489141,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/758.pt
1507,1507,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.75,0.7273582175925926,11.9375,4.767788423219326,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1507.pt
2257,2257,coco_POPE_random,coco_POPE_random,0,0,No!,yes,1.765625,0.7436342592592593,11.9375,5.513155874679295,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2257.pt
8,8,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.71875,0.7248263888888888,11.9375,5.388639182484051,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/8.pt
759,759,coco_POPE_random,coco_POPE_random,0,0,No!,yes,1.671875,0.7537615740740741,11.9375,5.492335892479379,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/759.pt
1508,1508,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.75,0.7364004629629629,11.9375,5.501921621689569,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1508.pt
2258,2258,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.765625,0.7436342592592593,11.9375,5.5662334171004755,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2258.pt
9,9,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7205584490740741,11.9375,4.872378878066732,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/9.pt
760,760,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.671875,0.7541232638888888,11.9375,5.543916994702597,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/760.pt
1509,1509,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.75,0.7273582175925926,11.9375,4.853325639563046,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/1509.pt
2259,2259,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.765625,0.7379918981481481,11.9375,4.9570120844507315,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/2259.pt
10,10,coco_POPE_random,coco_POPE_random,1,0,No!,no,1.71875,0.7248263888888888,11.9375,5.5055267289084275,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/10.pt
761,761,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.671875,0.7486255787037037,11.9375,4.784672618605896,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/memvr/analysis/coco_POPE_random/761.pt
